Name,metabolite class,Time,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
LPC(0:0/14:0),Lysophospholipid,1.29,-4.499505145,11.91021541,0.007227891,0.118450182,467.584,421.216,467.3011894,186,0,0.305724197,-0.756117342,0.756117342,0.305724197,0.935483871,1.451612903,1.935483871,3.814106899,496.741313,23.58972938,20.1821893,21.07661649,14.59346546,11.80285063,13.26344412,9.170110337,10.58093531,4.916252254,5.88035317,2.940540383,3.669173941,-0.5,2358561.371,30.5,17.98564459,21.12130178,189.0130766,28.26732713,19.25560476,0,0,7.822697123,5.969305288,9.359585469,0,0,0,71.13195343,6.420821623,6.420821623,34.35677988,37.6269126,13.79200241,0,0,0,90.07756306,47.50841825,0,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,83.97359667,0,0,0,0,105.12,33.10973273,19.35952447,0,13.02770359,11.02778726,19.26246487,51.36657298,0,21.14301595,6.9237372,13.78435728,0,0,0,0,0,0,0,0,21.84555021,52.96000535,0.954545455,31,1,8,0,0,0,0,0,0,7,1,9,21,0,0,0,0,3.7994,120.4537
LPA(0:0/18:2),Lysophospholipid,1.36,-4.64029212,11.67317709,0.21915105,0.115641336,434.51,395.198,434.2433402,170,0,0.469211039,-0.457415854,0.469211039,0.457415854,0.931034483,1.517241379,2.103448276,3.558459599,499.2580772,21.79683616,17.70809383,18.60252102,13.88635867,10.6908184,12.22111515,7.061520619,8.300873411,4.261885074,4.747305636,2.62980537,2.990264082,-0.98,1248762.869,28.02,19.01149817,21.5438687,174.9798117,19.63021355,6.103966388,0,0,0,13.79200241,9.318284346,4.565048285,0,0,63.33192574,38.52492974,6.420821623,13.21376393,33.51354618,13.79200241,0,0,0,90.07756306,13.21376393,24.30408043,0,0,0,0,0,7.822697123,40.18038621,18.62019558,0,83.97359667,24.30408043,0,0,0,113.29,33.10973273,9.359585469,0,6.420821623,6.420821623,38.52492974,25.68328649,0,0,35.75156479,19.63021355,0,0,0,0,0,0,0,0,14.84377814,58.96177741,0.761904762,29,3,7,0,0,0,0,0,0,5,3,8,19,0,0,0,0,4.8133,114.3199
LPC(14:0/0:0),Lysophospholipid,1.39,-4.481514339,11.72722681,0.005637282,0.118450182,467.584,421.216,467.3011894,186,0,0.305374104,-0.756117796,0.756117796,0.305374104,0.903225806,1.419354839,1.935483871,3.627740629,496.741313,23.58972938,20.1821893,21.07661649,14.55546065,11.79779463,13.25838812,9.212504294,10.62332926,4.857706605,5.821807522,2.884054417,3.61849658,-0.5,2290995.251,30.5,17.98564459,22.48362308,189.0130766,28.26732713,25.86248672,0,0,7.822697123,5.969305288,9.359585469,0,0,0,71.13195343,6.420821623,6.420821623,27.74989791,37.6269126,13.79200241,0,0,0,90.07756306,47.50841825,0,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,83.97359667,0,0,0,0,105.12,20.53354548,19.35952447,0,19.18306922,17.44860889,19.26246487,51.36657298,0,21.14301595,11.44748436,9.260610116,0,0,0,0,0,0,0,0,21.58499345,53.2205621,0.954545455,31,1,8,0,0,0,0,0,0,7,1,9,21,0,0,0,0,3.7994,120.4537
LPA(18:2/0:0),Lysophospholipid,1.43,-4.620885795,11.54022354,0.274368792,0.115641336,434.51,395.198,434.2433402,170,0,0.469171041,-0.462822914,0.469171041,0.462822914,0.896551724,1.482758621,2.103448276,3.438338598,499.2580772,21.79683616,17.70809383,18.60252102,13.84835387,10.6857624,12.21605915,7.103914576,8.343267367,4.203339426,4.688759987,2.573319404,2.939586721,-0.98,1213315.028,28.02,19.01149817,23.16803849,174.9798117,19.63021355,12.71084835,0,0,0,13.79200241,9.318284346,4.565048285,0,0,63.33192574,38.52492974,6.420821623,6.606881965,33.51354618,13.79200241,0,0,0,90.07756306,13.21376393,24.30408043,0,0,0,0,0,7.822697123,40.18038621,18.62019558,0,83.97359667,24.30408043,0,0,0,113.29,26.50285076,14.46611286,0,13.02770359,0,44.94575136,25.68328649,0,0,35.75156479,14.52368616,0,0,0,0,0,0,0,0,14.62015534,59.18540021,0.761904762,29,3,7,0,0,0,0,0,0,5,3,8,19,0,0,0,0,4.8133,114.3199
LPA(20:4/0:0),Lysophospholipid,1.43,-4.633826978,11.53546632,0.212395234,0.106203104,458.532,419.22,458.2433402,178,0,0.469171041,-0.462822778,0.469171041,0.462822778,0.838709677,1.35483871,1.870967742,3.59934954,605.0462444,23.21104972,18.60328134,19.49770853,14.84835387,10.98542223,12.51571897,7.103914576,8.343267367,4.081003813,4.566424375,2.417748843,2.78401616,-1.5,3239093.8,29.5,20.40532544,24.64035088,186.3304899,19.63021355,12.71084835,0,0,0,13.79200241,9.318284346,4.565048285,0,0,68.3735413,44.94575136,6.420821623,6.606881965,33.51354618,13.79200241,0,0,0,77.23591982,13.21376393,48.60816085,0,0,0,0,0,7.822697123,40.18038621,18.62019558,0,71.13195343,48.60816085,0,0,0,113.29,26.50285076,14.46611286,0,13.02770359,6.420821623,25.68328649,25.68328649,0,12.15204021,47.903605,14.52368616,0,0,0,0,0,0,0,0,14.62047103,64.18508452,0.608695652,31,3,7,0,0,0,0,0,0,5,3,8,19,0,0,0,0,5.1455,123.3659
LPC(16:1/0:0),Lysophospholipid,1.53,-4.48848225,11.75910221,0.008745594,0.078549213,493.622,445.238,493.3168395,196,0,0.305374104,-0.756117796,0.756117796,0.305374104,0.939393939,1.515151515,2.121212121,3.634094234,563.5062112,25.00394294,21.33688984,22.23131703,15.55546065,12.44762455,13.90821803,9.554152302,10.96497727,5.015954896,5.980055812,2.937027291,3.671469454,-0.76,6114784.123,32.24,19.53614327,24.17373359,201.0533578,28.26732713,25.86248672,0,0,7.822697123,5.969305288,9.359585469,0,0,0,57.60070715,32.10410811,6.420821623,27.74989791,37.6269126,13.79200241,0,0,0,90.07756306,47.50841825,12.15204021,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,83.97359667,12.15204021,0,0,0,105.12,26.50285076,19.35952447,0,13.21376393,17.44860889,32.10410811,38.52492974,0,21.14301595,23.59952458,9.260610116,0,0,0,0,0,0,0,0,21.6101843,57.19537125,0.875,33,1,8,0,0,0,0,0,0,7,1,9,22,0,0,0,0,4.3556,129.5937
Acylcarnitine (22:6),Acylcarnitine,1.54,-1.205363308,11.99471317,0.238945443,0.147102785,471.682,426.322,471.3348589,190,0,0.306099982,-0.550018459,0.550018459,0.306099982,0.735294118,1.147058824,1.529411765,3.90662916,720.9028552,25.49550677,21.65682807,21.65682807,16.24220072,12.33975702,12.33975702,9.114760801,9.114760801,4.555465966,4.555465966,3.02588972,3.02588972,-2.66,11465566.31,31.34,20.91234356,23.99174391,207.0206404,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,79.83597848,44.94575136,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,70.81509819,27.68777235,72.91224128,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,64.71113181,72.91224128,0,0,0,66.43,12.07327168,14.69560176,0,18.81094853,17.44860889,38.52492974,0,0,33.29505616,67.68393827,4.736862954,0,0,0,0,0,0,0,0,0.512278835,77.15438783,0.517241379,34,0,5,0,0,0,0,0,0,4,0,5,19,0,0,0,0,5.2223,139.8534
Sphingosine-1-phosphate,Sphingolipid,1.56,-4.534607569,10.56086803,0.380725309,0.172291293,379.478,341.174,379.2487599,150,0,0.469133919,-0.387326992,0.469133919,0.387326992,0.96,1.44,1.92,3.45732295,372.4779254,18.96840904,15.68449046,16.57891766,11.86519062,9.668959091,11.19925583,6.69315155,7.932504341,4.181434171,4.666854732,2.586520935,2.952844923,-0.23,174564.8388,24.77,15.98098278,18.36090259,152.6394118,20.62701808,0,0,0,0,7.822697123,4.523747162,4.565048285,0,0,83.28399364,12.84164325,0,18.75268918,23.98214605,7.822697123,0,0,5.733667477,96.11940389,6.606881965,12.15204021,0,0,5.733667477,0,0,7.822697123,33.64603978,9.088795447,0,83.97359667,12.15204021,0,0,0,113.01,19.96850434,9.67157568,0,6.606881965,0,12.84164325,64.20821623,6.076020107,6.076020107,11.44748436,15.52049068,0,0,0,0,0,0,0,0,14.83977244,46.63244978,0.888888889,25,5,6,0,0,0,0,0,0,4,4,7,17,0,0,0,0,4.0412,102.1963
Acylcarnitine (18:2) - Linoleylcarnitine,Acylcarnitine,1.59,-1.182133805,11.99755823,0.246601047,0.132196071,423.638,378.278,423.3348589,174,0,0.305784613,-0.550018459,0.550018459,0.305784613,0.866666667,1.433333333,2,3.71340202,505.7682381,22.66707965,19.86645304,19.86645304,14.24220072,11.74043737,11.74043737,9.141634255,9.141634255,4.775342407,4.775342407,3.265864729,3.265864729,-1.62,1606863.968,28.38,18.17311343,21.09760925,184.319284,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,63.33192574,38.52492974,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,96.49838469,27.68777235,24.30408043,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,90.3944183,24.30408043,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,17.44860889,32.10410811,38.52492974,0,21.14301595,31.22781763,4.736862954,0,0,0,0,0,0,0,0,0.536625965,67.1300407,0.76,30,0,5,0,0,0,0,0,0,4,0,5,19,0,0,0,0,4.5579,121.7614
LPC(0:0/18:2),Lysophospholipid,1.59,-4.513170207,11.96913704,0.013212375,0.067209352,519.66,469.26,519.3324896,206,0,0.305724197,-0.756117342,0.756117342,0.305724197,0.942857143,1.542857143,2.142857143,3.798833221,631.6800637,26.41815651,22.49159037,23.38601757,16.59346546,13.10251046,14.56310395,9.865311737,11.27613671,5.263332738,6.227433654,3.087754072,3.81638763,-1.02,16772536.72,33.98,21.10192089,24.45069229,213.0936389,28.26732713,19.25560476,0,0,7.822697123,5.969305288,9.359585469,0,0,0,63.33192574,38.52492974,6.420821623,34.35677988,37.6269126,13.79200241,0,0,0,90.07756306,47.50841825,24.30408043,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,83.97359667,24.30408043,0,0,0,105.12,33.10973273,19.35952447,0,13.02770359,17.44860889,38.52492974,25.68328649,0,21.14301595,31.22781763,13.78435728,0,0,0,0,0,0,0,0,21.89749717,60.90805838,0.807692308,35,1,8,0,0,0,0,0,0,7,1,9,23,0,0,0,0,4.9118,138.7337
Acylcarnitine (20:4),Acylcarnitine,1.61,-1.196878803,11.99280101,0.26544264,0.122354467,447.66,402.3,447.3348589,182,0,0.305796171,-0.550018459,0.550018459,0.305796171,0.8125,1.3125,1.78125,3.858080862,611.6361127,24.08129321,20.76164055,20.76164055,15.24220072,12.04009719,12.04009719,9.141634255,9.141634255,4.653006794,4.653006794,3.110294168,3.110294168,-2.14,4296388.881,29.86,19.53820416,22.543094,195.6699622,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,68.3735413,44.94575136,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,83.65674144,27.68777235,48.60816085,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,77.55277505,48.60816085,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,23.86943051,25.68328649,25.68328649,0,21.14301595,55.53189805,4.736862954,0,0,0,0,0,0,0,0,0.521276556,72.14539011,0.62962963,32,0,5,0,0,0,0,0,0,4,0,5,19,0,0,0,0,4.8901,130.8074
LPC(0:0/20:4),Lysophospholipid,1.61,-4.528255317,11.96437982,0.022481221,0.061740355,543.682,493.282,543.3324896,214,0,0.305735754,-0.756117342,0.756117342,0.305735754,0.891891892,1.432432432,1.945945946,3.913693432,741.3029197,27.83237007,23.38677789,24.28120508,17.59346546,13.40217029,14.86276378,9.865311737,11.27613671,5.140997125,6.105098042,2.932183511,3.660817069,-1.54,44629201.35,35.46,22.44442847,25.87478549,224.4443171,28.26732713,19.25560476,0,0,7.822697123,5.969305288,9.359585469,0,0,0,68.3735413,44.94575136,6.420821623,34.35677988,37.6269126,13.79200241,0,0,0,77.23591982,47.50841825,48.60816085,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,71.13195343,48.60816085,0,0,0,105.12,33.10973273,19.35952447,0,13.02770359,17.44860889,25.68328649,25.68328649,0,27.21903605,49.45587795,13.78435728,0,0,0,0,0,0,0,0,21.88383266,65.92172289,0.678571429,37,1,8,0,0,0,0,0,0,7,1,9,23,0,0,0,0,5.244,147.7797
LPA(16:0/0:0),Lysophospholipid,1.63,-4.611428817,11.52230954,0.295466467,0.163382022,410.488,371.176,410.2433402,162,0,0.469171041,-0.462822914,0.469171041,0.462822914,0.814814815,1.259259259,1.703703704,3.327180612,397.5194044,20.3826226,16.81290631,17.7073335,12.84835387,10.38610257,11.91639932,7.115819958,8.355172749,4.356258942,4.841679503,2.779659106,3.145926423,-0.46,453595.1062,26.54,17.62580771,21.69661707,163.6291336,19.63021355,12.71084835,0,0,0,13.79200241,9.318284346,4.565048285,0,0,83.97359667,6.420821623,6.420821623,6.606881965,33.51354618,13.79200241,0,0,0,102.9192063,13.21376393,0,0,0,0,0,0,7.822697123,40.18038621,18.62019558,0,96.81523992,0,0,0,0,113.29,26.50285076,14.46611286,0,6.606881965,6.420821623,19.26246487,64.20821623,0,0,11.44748436,14.52368616,0,0,0,0,0,0,0,0,14.60792482,54.19763073,0.947368421,27,3,7,0,0,0,0,0,0,5,3,8,19,0,0,0,0,4.4811,105.2739
LPC(15:0/0:0),Lysophospholipid,1.64,-4.482972829,11.74898028,0.005549404,0.106961485,481.611,433.227,481.3168395,192,0,0.305374104,-0.756117796,0.756117796,0.305374104,0.875,1.375,1.875,3.600159444,511.0635942,24.29683616,20.88929608,21.78372327,15.05546065,12.29779463,13.75838812,9.566057684,10.97688265,5.107706605,6.071807522,3.060831112,3.795273275,-0.5,3743693.357,31.5,18.87475556,22.68532544,195.3780187,28.26732713,25.86248672,0,0,7.822697123,5.969305288,9.359585469,0,0,0,77.55277505,6.420821623,6.420821623,27.74989791,37.6269126,13.79200241,0,0,0,96.49838469,47.50841825,0,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,90.3944183,0,0,0,0,105.12,20.53354548,19.35952447,0,19.18306922,17.44860889,19.26246487,57.78739461,0,21.14301595,11.44748436,9.260610116,0,0,0,0,0,0,0,0,21.60589388,54.69966168,0.956521739,32,1,8,0,0,0,0,0,0,7,1,9,22,0,0,0,0,4.1895,125.0707
LPC(18:2/0:0),Lysophospholipid,1.69,-4.493763881,11.78614844,0.01100097,0.067209352,519.66,469.26,519.3324896,206,0,0.305374104,-0.756117796,0.756117796,0.305374104,0.914285714,1.514285714,2.142857143,3.638473889,631.6800637,26.41815651,22.49159037,23.38601757,16.55546065,13.09745446,14.55804795,9.907705693,11.31853066,5.20478709,6.168888006,3.031268105,3.765710268,-1.02,16294046.74,33.98,21.10192089,25.86865613,213.0936389,28.26732713,25.86248672,0,0,7.822697123,5.969305288,9.359585469,0,0,0,63.33192574,38.52492974,6.420821623,27.74989791,37.6269126,13.79200241,0,0,0,90.07756306,47.50841825,24.30408043,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,83.97359667,24.30408043,0,0,0,105.12,26.50285076,19.35952447,0,19.63458555,11.02778726,44.94575136,25.68328649,0,21.14301595,35.75156479,9.260610116,0,0,0,0,0,0,0,0,21.63317731,61.17237825,0.807692308,35,1,8,0,0,0,0,0,0,7,1,9,23,0,0,0,0,4.9118,138.7337
LPC(20:4/0:0),Lysophospholipid,1.69,-4.500913846,11.80255594,0.015078132,0.061740355,543.682,493.282,543.3324896,214,0,0.305374104,-0.756117796,0.756117796,0.305374104,0.864864865,1.432432432,2.027027027,3.68166995,741.3029197,27.83237007,23.38677789,24.28120508,17.55546065,13.39711429,14.85770778,9.880832239,11.29165721,5.093809535,6.057910451,2.933153269,3.667595432,-1.54,43358188.6,35.46,22.44442847,27.31360192,224.4443171,28.26732713,25.86248672,0,0,7.822697123,5.969305288,9.359585469,0,0,0,68.3735413,44.94575136,6.420821623,27.74989791,37.6269126,13.79200241,0,0,0,77.23591982,47.50841825,48.60816085,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,71.13195343,48.60816085,0,0,0,105.12,26.50285076,19.35952447,0,19.63458555,11.02778726,57.78739461,0,0,21.14301595,60.05564522,9.260610116,0,0,0,0,0,0,0,0,21.6432144,66.16234116,0.678571429,37,1,8,0,0,0,0,0,0,7,1,9,23,0,0,0,0,5.244,147.7797
LPE(18:2/0:0),Lysophospholipid,1.74,-4.244226844,11.69237561,0.071675879,0.087805369,477.579,433.227,477.2855394,188,0,0.471818497,-0.462822914,0.471818497,0.462822914,0.9375,1.5625,2.21875,3.541092904,554.4629906,23.91815651,19.66069235,20.55511954,15.40901404,11.86526001,13.36070513,7.703792122,9.157301445,4.570591532,5.554814045,2.775747957,3.546872381,-1.02,5753556.009,30.98,21.80628288,22.18384809,193.3688981,20.47046943,12.71084835,0,0,0,13.79200241,13.84203151,4.565048285,0,0,63.33192574,38.52492974,12.96557803,13.21376393,33.14388174,13.79200241,0,0,5.733667477,90.07756306,26.3654023,24.30408043,0,0,5.733667477,0,0,7.822697123,48.43861297,23.14394275,0,83.97359667,24.30408043,0,0,0,128.31,26.50285076,19.35952447,0,26.17934196,0,44.94575136,25.68328649,0,0,40.27531195,10.47053043,0,0,0,0,0,0,0,0,20.54452018,57.76103538,0.782608696,32,4,8,0,0,0,0,0,0,7,3,9,22,0,0,0,0,4.7963,127.1075
LPA(18:1/0:0),Lysophospholipid,1.76,-4.617957544,11.54573314,0.281973246,0.10604009,436.526,395.198,436.2589903,172,0,0.469171041,-0.462822914,0.469171041,0.462822914,0.862068966,1.379310345,1.931034483,3.377561278,461.945962,21.79683616,17.96760685,18.86203404,13.84835387,11.03593249,12.56622923,7.457467966,8.696820758,4.514507232,4.999927794,2.83263198,3.198899297,-0.72,1213315.028,28.28,19.25580144,23.42662757,175.6694148,19.63021355,12.71084835,0,0,0,13.79200241,9.318284346,4.565048285,0,0,70.4423504,32.10410811,6.420821623,6.606881965,33.51354618,13.79200241,0,0,0,102.9192063,13.21376393,12.15204021,0,0,0,0,0,7.822697123,40.18038621,18.62019558,0,96.81523992,12.15204021,0,0,0,113.29,26.50285076,14.46611286,0,13.02770359,0,32.10410811,51.36657298,0,0,23.59952458,14.52368616,0,0,0,0,0,0,0,0,14.6260637,58.17949186,0.857142857,29,3,7,0,0,0,0,0,0,5,3,8,20,0,0,0,0,5.0373,114.4139
LPC(17:1/0:0),Lysophospholipid,1.77,-4.489707121,11.77626442,0.008677538,0.069968839,507.649,457.249,507.3324896,202,0,0.305374104,-0.756117796,0.756117796,0.305374104,0.911764706,1.470588235,2.058823529,3.612774862,578.1016914,25.71104972,22.04399662,22.93842381,16.05546065,12.94762455,14.40821803,9.907705693,11.31853066,5.265954896,6.230055812,3.113803986,3.848246149,-0.76,9983594.7,33.24,20.43426806,24.36728186,207.4182999,28.26732713,25.86248672,0,0,7.822697123,5.969305288,9.359585469,0,0,0,64.02152877,32.10410811,6.420821623,27.74989791,37.6269126,13.79200241,0,0,0,96.49838469,47.50841825,12.15204021,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,90.3944183,12.15204021,0,0,0,105.12,26.50285076,19.35952447,0,13.21376393,17.44860889,32.10410811,44.94575136,0,21.14301595,23.59952458,9.260610116,0,0,0,0,0,0,0,0,21.62764612,58.67790944,0.88,34,1,8,0,0,0,0,0,0,7,1,9,23,0,0,0,0,4.7457,134.2107
Acylcarnitine (16:0) - Palmitoylcarnitine,Acylcarnitine,1.79,-1.1738802,11.97964424,0.236246153,0.185192546,399.616,354.256,399.3348589,166,0,0.305784613,-0.550018459,0.550018459,0.305784613,0.785714286,1.214285714,1.607142857,3.629406787,403.8967288,21.25286609,18.97126553,18.97126553,13.24220072,11.44077754,11.44077754,9.153539637,9.153539637,4.928261922,4.928261922,3.47220443,3.47220443,-1.1,599587.5642,26.9,16.81827693,19.65579387,172.9686059,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,83.97359667,6.420821623,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,109.3400279,27.68777235,0,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,103.2360615,0,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,17.44860889,19.26246487,64.20821623,0,21.14301595,6.9237372,4.736862954,0,0,0,0,0,0,0,0,0.545601852,62.12106481,0.913043478,28,0,5,0,0,0,0,0,0,4,0,5,19,0,0,0,0,4.2257,112.7154
LPC(0:0/16:0),Lysophospholipid,1.79,-4.502564705,11.95122304,0.007039284,0.095718322,495.638,445.238,495.3324896,198,0,0.305724197,-0.756117342,0.756117342,0.305724197,0.878787879,1.363636364,1.818181818,3.741841287,525.4323464,25.00394294,21.59640286,22.49083005,15.59346546,12.80285063,14.26344412,9.877217118,11.28804209,5.416252254,6.38035317,3.294093773,4.022727332,-0.5,6294710.254,32.5,19.76918536,23.03119093,201.7429608,28.26732713,19.25560476,0,0,7.822697123,5.969305288,9.359585469,0,0,0,83.97359667,6.420821623,6.420821623,34.35677988,37.6269126,13.79200241,0,0,0,102.9192063,47.50841825,0,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,96.81523992,0,0,0,0,105.12,33.10973273,19.35952447,0,13.02770359,11.02778726,19.26246487,64.20821623,0,21.14301595,6.9237372,13.78435728,0,0,0,0,0,0,0,0,21.88946532,55.91609024,0.958333333,33,1,8,0,0,0,0,0,0,7,1,9,23,0,0,0,0,4.5796,129.6877
LPC(16:0/0:0),Lysophospholipid,1.9,-4.484306903,11.76823445,0.00547228,0.095718322,495.638,445.238,495.3324896,198,0,0.305374104,-0.756117796,0.756117796,0.305374104,0.848484848,1.333333333,1.818181818,3.574024144,525.4323464,25.00394294,21.59640286,22.49083005,15.55546065,12.79779463,14.25838812,9.919611075,11.33043605,5.357706605,6.321807522,3.237607807,3.97204997,-0.5,6114784.123,32.5,19.76918536,24.42670973,201.7429608,28.26732713,25.86248672,0,0,7.822697123,5.969305288,9.359585469,0,0,0,83.97359667,6.420821623,6.420821623,27.74989791,37.6269126,13.79200241,0,0,0,102.9192063,47.50841825,0,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,96.81523992,0,0,0,0,105.12,20.53354548,19.35952447,0,19.18306922,17.44860889,19.26246487,64.20821623,0,21.14301595,11.44748436,9.260610116,0,0,0,0,0,0,0,0,21.62495904,56.18059651,0.958333333,33,1,8,0,0,0,0,0,0,7,1,9,23,0,0,0,0,4.5796,129.6877
Acylcarnitine (18:1) - Oleoylcarnitine,Acylcarnitine,1.95,-1.178450577,12.00306783,0.2424257,0.121797205,425.654,378.278,425.350509,176,0,0.305784613,-0.550018459,0.550018459,0.305784613,0.833333333,1.333333333,1.833333333,3.648194688,468.259307,22.66707965,20.12596606,20.12596606,14.24220072,12.09060745,12.09060745,9.495187646,9.495187646,5.086510213,5.086510213,3.525177305,3.525177305,-1.36,1606863.968,28.64,18.41222102,21.35129568,185.0088871,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,70.4423504,32.10410811,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,109.3400279,27.68777235,12.15204021,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,103.2360615,12.15204021,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,17.44860889,25.68328649,57.78739461,0,21.14301595,19.07577741,4.736862954,0,0,0,0,0,0,0,0,0.540309194,66.12635747,0.84,30,0,5,0,0,0,0,0,0,4,0,5,20,0,0,0,0,4.7819,121.8554
LPC(0:0/18:1),Lysophospholipid,1.95,-4.509896893,11.97464664,0.010577333,0.061664547,521.676,469.26,521.3481396,208,0,0.305724197,-0.756117342,0.756117342,0.305724197,0.914285714,1.457142857,2,3.748590792,592.7395983,26.41815651,22.7511034,23.64553059,16.59346546,13.45268055,14.91327404,10.21886513,11.6296901,5.574500544,6.538601461,3.347066648,4.075700206,-0.76,16772536.72,34.24,21.33708746,24.70055363,213.783242,28.26732713,19.25560476,0,0,7.822697123,5.969305288,9.359585469,0,0,0,70.4423504,32.10410811,6.420821623,34.35677988,37.6269126,13.79200241,0,0,0,102.9192063,47.50841825,12.15204021,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,96.81523992,12.15204021,0,0,0,105.12,33.10973273,19.35952447,0,13.02770359,17.44860889,32.10410811,44.94575136,0,21.14301595,19.07577741,13.78435728,0,0,0,0,0,0,0,0,21.90920375,59.8963518,0.884615385,35,1,8,0,0,0,0,0,0,7,1,9,24,0,0,0,0,5.1358,138.8277
LPE(16:0/0:0),Lysophospholipid,1.97,-4.234769866,11.67446162,0.076656846,0.124450327,453.557,409.205,453.2855394,180,0,0.471818497,-0.462822914,0.471818497,0.462822914,0.866666667,1.366666667,1.866666667,3.456488144,451.0708151,22.50394294,18.76550484,19.65993203,14.40901404,11.56560018,13.0610453,7.715697504,9.169206827,4.723511048,5.707733561,2.982087659,3.753212083,-0.5,2158997.581,29.5,20.40532544,20.75987638,182.01822,20.47046943,12.71084835,0,0,0,13.79200241,13.84203151,4.565048285,0,0,83.97359667,6.420821623,12.96557803,13.21376393,33.14388174,13.79200241,0,0,5.733667477,102.9192063,26.3654023,0,0,0,5.733667477,0,0,7.822697123,48.43861297,23.14394275,0,96.81523992,0,0,0,0,128.31,20.53354548,19.35952447,0,25.72782562,6.420821623,19.26246487,64.20821623,0,0,15.97123152,10.47053043,0,0,0,0,0,0,0,0,20.53179053,52.77376503,0.952380952,30,4,8,0,0,0,0,0,0,7,3,9,22,0,0,0,0,4.4641,118.0615
