Name,metabolite class,Time,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
Piperine,Xenobiotic,0.65,0.101885813,11.93149016,0.101885813,0.632788302,285.343,266.191,285.1364935,110,0,0.246049143,-0.453595078,0.453595078,0.246049143,1.047619048,1.857142857,2.714285714,1.559654715,571.3979945,14.49335306,11.95605104,11.95605104,10.32649984,7.361169176,7.361169176,5.216878217,5.216878217,3.70294988,3.70294988,2.541040644,2.541040644,-2.23,122221.3537,13.73934836,6.480399704,3.453925249,124.2033442,14.37363564,0,11.49902367,12.70012204,0,0,4.794537184,0,0,0,24.29442739,36.9586505,19.16553292,0,14.26826309,11.98319984,0,4.899909731,0,19.26246487,19.88245512,41.99061302,0,11.49902367,9.473725908,0,11.49902367,0,30.68954458,4.794537184,0,24.82591636,36.42716153,0,6.076020107,0,38.77,0,4.794537184,0,12.70012204,0,42.99363122,6.420821623,12.15204021,35.25105115,0,9.473725908,0,0,0,0,0,0,0,0,0,45.66666667,0.352941176,21,0,4,0,2,2,1,0,1,3,0,4,3,0,1,1,3,2.9972,81.17
Acylcarnitine (12:0-OH) - Hydroxydodecanoylcarnitine,Acylcarnitine,0.69,-1.24085975,11.93581124,0.086780569,0.272801454,359.507,322.211,359.2671733,148,0,0.308415514,-0.550018459,0.550018459,0.308415514,1,1.56,2.08,4.039939424,378.5009666,19.29468245,16.46029548,16.46029548,11.63604757,9.515473008,9.515473008,7.928842079,7.928842079,3.987000144,3.987000144,2.805804678,2.805804678,-1.14,118138.4399,23.86,13.11547089,16.09543007,152.3030712,24.22748579,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,51.86948856,6.420821623,12.39012691,33.66780396,29.02202297,11.93861058,0,0,0,83.3398862,27.68777235,0,0,0,5.106527395,0,0,0,61.42387396,14.32593732,0,71.13195343,0,0,0,0,86.66,24.14654335,19.80212916,0,12.84164325,17.44860889,19.26246487,25.68328649,0,21.14301595,6.9237372,4.736862954,0,0,0,0,0,0,0,0,0.477987587,62.02201241,0.894736842,25,1,6,0,0,0,0,0,0,5,1,6,15,0,0,0,0,1.6361,95.6372
Acylcarnitine (18:1-DC),Acylcarnitine,0.72,-1.196035343,12.00649119,0.262330999,0.122014064,455.636,410.276,455.3246882,186,0,0.305784613,-0.550018459,0.550018459,0.305784613,0.8125,1.28125,1.75,3.61667532,553.12561,24.24442992,20.48142795,20.48142795,15.09804277,12.164785,12.164785,9.638926189,9.638926189,5.123598989,5.123598989,3.55140303,3.55140303,-1.89,3627433.538,30.11,18.65959605,22.78758857,193.9646429,24.22748579,6.544756406,6.103966388,0,0,11.93861058,9.589074368,0,0,0,50.67696995,38.52492974,25.23177016,21.14301595,33.81656015,17.90791586,0,0,0,102.4162907,27.68777235,12.15204021,0,0,5.106527395,0,0,0,61.28921286,19.12047451,0,96.31232434,12.15204021,0,0,0,103.73,18.04257696,19.49013895,0,18.81094853,17.44860889,77.04985948,0,0,21.14301595,12.15204021,9.843390349,0,0,0,0,0,0,0,0,0.522094307,78.81123903,0.8,32,1,7,0,0,0,0,0,0,5,1,7,21,0,0,0,0,3.8466,123.8172
Acylcarnitine (18:0-DC),Acylcarnitine,0.86,-1.190525743,12.01562342,0.255900197,0.149271106,457.652,410.276,457.3403382,188,0,0.305784613,-0.550018459,0.550018459,0.305784613,0.71875,1.09375,1.4375,3.524309803,515.0517452,24.24442992,20.74094097,20.74094097,15.09804277,12.51495509,12.51495509,10.00438496,10.00438496,5.465350699,5.465350699,3.851983546,3.851983546,-1.63,3627433.538,30.37,18.89524374,23.0419562,194.654246,24.22748579,6.544756406,6.103966388,0,0,11.93861058,9.589074368,0,0,0,77.04985948,12.84164325,25.23177016,21.14301595,33.81656015,17.90791586,0,0,0,115.257934,27.68777235,0,0,0,5.106527395,0,0,0,61.28921286,19.12047451,0,109.1539676,0,0,0,0,103.73,18.04257696,19.49013895,0,12.39012691,23.86943051,38.52492974,51.36657298,0,21.14301595,0,9.843390349,0,0,0,0,0,0,0,0,0.527603908,77.80572943,0.88,32,1,7,0,0,0,0,0,0,5,1,7,22,0,0,0,0,4.0706,123.9112
Acylcarnitine (14:2) - Tetradecadiencarnitine,Acylcarnitine,0.87,-1.192655399,11.90337079,0.258181008,0.193110086,367.53,330.234,367.2722587,150,0,0.305796171,-0.550018459,0.550018459,0.305796171,1,1.615384615,2.153846154,3.943077966,449.4176553,19.83865253,17.03802592,17.03802592,12.24220072,9.740437366,9.740437366,7.727420693,7.727420693,3.775342407,3.775342407,2.568259148,2.568259148,-1.62,223098.2946,24.38,14.53917919,17.21107834,158.8595156,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,44.06946087,32.10410811,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,70.81509819,27.68777235,24.30408043,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,64.71113181,24.30408043,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,23.86943051,19.26246487,19.26246487,0,21.14301595,31.22781763,4.736862954,0,0,0,0,0,0,0,0,0.527705,61.13896167,0.714285714,26,0,5,0,0,0,0,0,0,4,0,5,15,0,0,0,0,2.9975,103.2934
Acylcarnitine (12:0) - Dodecanoylcarnitine,Acylcarnitine,0.89,-1.176552777,11.88539457,0.237083333,0.260404597,343.508,306.212,343.2722587,142,0,0.305784613,-0.550018459,0.550018459,0.305784613,0.916666667,1.416666667,1.875,3.820217685,349.7661755,18.42443896,16.1428384,16.1428384,11.24220072,9.440777537,9.440777537,7.739326074,7.739326074,3.928261922,3.928261922,2.765097649,2.765097649,-1.1,82715.53904,22.9,13.22002045,15.78270628,147.5088374,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,58.29031018,6.420821623,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,83.65674144,27.68777235,0,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,77.55277505,0,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,17.44860889,19.26246487,38.52492974,0,21.14301595,6.9237372,4.736862954,0,0,0,0,0,0,0,0,0.544898727,56.12176794,0.894736842,24,0,5,0,0,0,0,0,0,4,0,5,15,0,0,0,0,2.6653,94.2474
Acylcarnitine (14:0-OH) - Hydroxytetradecanoylcarnitine,Acylcarnitine,0.99,-1.23935873,11.98905327,0.085606917,0.235250588,387.561,346.233,387.2984734,160,0,0.308415514,-0.550018459,0.550018459,0.308415514,0.925925926,1.444444444,1.925925926,3.925143606,405.8663722,20.70889601,17.87450905,17.87450905,12.63604757,10.51547301,10.51547301,8.63594886,8.63594886,4.487000144,4.487000144,3.159358069,3.159358069,-1.14,318633.7167,25.86,14.86107273,18.00700809,165.0329554,24.22748579,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,64.71113181,6.420821623,12.39012691,33.66780396,29.02202297,11.93861058,0,0,0,96.18152945,27.68777235,0,0,0,5.106527395,0,0,0,61.42387396,14.32593732,0,83.97359667,0,0,0,0,86.66,24.14654335,19.80212916,0,12.84164325,17.44860889,12.84164325,44.94575136,0,21.14301595,6.9237372,4.736862954,0,0,0,0,0,0,0,0,0.478397503,65.0216025,0.904761905,27,1,6,0,0,0,0,0,0,5,1,6,17,0,0,0,0,2.4163,104.8712
Acylcarnitine (14:1) Myristoleoylcarnitine,Acylcarnitine,1.08,-1.186224597,11.91454363,0.250576554,0.181291223,369.546,330.234,369.2879087,152,0,0.305796171,-0.550018459,0.550018459,0.305796171,0.961538462,1.538461538,2.115384615,3.845942942,412.7243649,19.83865253,17.29753894,17.29753894,12.24220072,10.09060745,10.09060745,8.080974083,8.080974083,4.086510213,4.086510213,2.827571724,2.827571724,-1.36,223098.2946,24.64,14.77250991,17.46262502,159.5491186,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,51.17988553,25.68328649,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,83.65674144,27.68777235,12.15204021,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,77.55277505,12.15204021,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,17.44860889,19.26246487,38.52492974,0,21.14301595,19.07577741,4.736862954,0,0,0,0,0,0,0,0,0.534135802,60.13253086,0.80952381,26,0,5,0,0,0,0,0,0,4,0,5,16,0,0,0,0,3.2215,103.3874
Bilirubin,Porphyrin metabolite,1.19,-0.921557716,12.33403148,0.068779208,0.214559734,584.673,548.385,584.2634849,224,0,0.303179123,-0.481221927,0.481221927,0.303179123,0.697674419,1.162790698,1.604651163,1.804568058,1705.949613,31.584693,24.7865689,24.7865689,20.35268206,13.93357791,13.93357791,10.71568987,10.71568987,8.113701422,8.113701422,5.611343206,5.611343206,-5.12,2326408736,30.82975126,12.39924299,6.227778002,249.2153708,30.81458904,0,0,0,11.81435946,11.93861058,19.17814874,0,0,0,25.30991158,80.51554276,64.45452975,5.697039313,29.39120353,35.90501025,0,20.60153425,0,59.79905691,0,104.0259263,0,0,10.63357721,0,0,0,43.93398187,38.44061361,13.8474744,71.71863559,58.99640833,0,12.15204021,0,164.38,11.93861058,29.39120353,0,37.49764595,34.53421384,50.60262248,6.076020107,12.99975731,32.92325181,33.75940562,0,0,0,0,0,0,0,0,0,0,109.5,0.272727273,43,6,10,0,2,2,0,2,2,4,6,10,12,0,0,0,4,4.53124,163.8124
Acylcarnitine (14:0) - Tetradecanoylcarnitine,Acylcarnitine,1.29,-1.175051757,11.9386366,0.236591215,0.223093078,371.562,330.234,371.3035588,154,0,0.305784613,-0.550018459,0.550018459,0.305784613,0.846153846,1.307692308,1.730769231,3.71600762,376.6975919,19.83865253,17.55705196,17.55705196,12.24220072,10.44077754,10.44077754,8.446432856,8.446432856,4.428261922,4.428261922,3.11865104,3.11865104,-1.1,223098.2946,24.9,15.00628465,17.7143417,160.2387217,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,71.13195343,6.420821623,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,96.49838469,27.68777235,0,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,90.3944183,0,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,17.44860889,19.26246487,51.36657298,0,21.14301595,6.9237372,4.736862954,0,0,0,0,0,0,0,0,0.545308642,59.12135802,0.904761905,26,0,5,0,0,0,0,0,0,4,0,5,17,0,0,0,0,3.4455,103.4814
